"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Agent Coulson";"Clark Gregg";"https://www.imdb.com/name/nm0163988";"Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer";"https://www.imdb.com/title/tt2011109"
"Clerk";"Jessica Manuel";"https://www.imdb.com/name/nm2740362";"Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer";"https://www.imdb.com/title/tt2011109"
"Robber 1";"Jeff Prewett";"https://www.imdb.com/name/nm2617141";"Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer";"https://www.imdb.com/title/tt2011109"
"Robber 2";"Zach Hudson";"https://www.imdb.com/name/nm0399995";"Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer";"https://www.imdb.com/title/tt2011109"
