"role","actorname","actorimdb","titlename","titleimdb"
"Tony Stark / Iron Man","Robert Downey Jr.","https://www.imdb.com/name/nm0000375","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Thor","Chris Hemsworth","https://www.imdb.com/name/nm1165110","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Bruce Banner / Hulk","Mark Ruffalo","https://www.imdb.com/name/nm0749263","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Steve Rogers / Captain America","Chris Evans","https://www.imdb.com/name/nm0262635","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Natasha Romanoff / Black Widow","Scarlett Johansson","https://www.imdb.com/name/nm0424060","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Clint Barton / Hawkeye","Jeremy Renner","https://www.imdb.com/name/nm0719637","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Ultron","James Spader","https://www.imdb.com/name/nm0000652","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Nick Fury","Samuel L. Jackson","https://www.imdb.com/name/nm0000168","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"James Rhodes / War Machine","Don Cheadle","https://www.imdb.com/name/nm0000332","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Pietro Maximoff / Quicksilver","Aaron Taylor-Johnson","https://www.imdb.com/name/nm1093951","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Wanda Maximoff / Scarlet Witch","Elizabeth Olsen","https://www.imdb.com/name/nm0647634","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Jarvis / Vision","Paul Bettany","https://www.imdb.com/name/nm0079273","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Maria Hill","Cobie Smulders","https://www.imdb.com/name/nm1130627","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Sam Wilson / Falcon","Anthony Mackie","https://www.imdb.com/name/nm1107001","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Peggy Carter","Hayley Atwell","https://www.imdb.com/name/nm2017943","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Heimdall","Idris Elba","https://www.imdb.com/name/nm0252961","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
"Laura Barton","Linda Cardellini","https://www.imdb.com/name/nm0004802","Avengers: Age of Ultron","https://www.imdb.com/title/tt2395427"
