"role","actorname","actorimdb","titlename","titleimdb"
"Steve Rogers / Captain America","Chris Evans","https://www.imdb.com/name/nm0262635","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Tony Stark / Iron Man","Robert Downey Jr.","https://www.imdb.com/name/nm0000375","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Natasha Romanoff / Black Widow","Scarlett Johansson","https://www.imdb.com/name/nm0424060","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Bucky Barnes / Winter Soldier","Sebastian Stan","https://www.imdb.com/name/nm1659221","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Sam Wilson / Falcon","Anthony Mackie","https://www.imdb.com/name/nm1107001","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Lieutenant James Rhodes / War Machine","Don Cheadle","https://www.imdb.com/name/nm0000332","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Clint Barton / Hawkeye","Jeremy Renner","https://www.imdb.com/name/nm0719637","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"T'Challa / Black Panther","Chadwick Boseman","https://www.imdb.com/name/nm1569276","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Vision","Paul Bettany","https://www.imdb.com/name/nm0079273","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Wanda Maximoff / Scarlet Witch","Elizabeth Olsen","https://www.imdb.com/name/nm0647634","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Scott Lang / Ant-Man","Paul Rudd","https://www.imdb.com/name/nm0748620","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Sharon Carter (as Emily Vancamp)","Emily VanCamp","https://www.imdb.com/name/nm0885840","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Peter Parker / Spider-Man","Tom Holland","https://www.imdb.com/name/nm4043618","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Zemo","Daniel Brühl","https://www.imdb.com/name/nm0117709","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Brock Rumlow / Crossbones","Frank Grillo","https://www.imdb.com/name/nm0342029","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Secretary of State Thaddeus Ross","William Hurt","https://www.imdb.com/name/nm0000458","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Everett K. Ross","Martin Freeman","https://www.imdb.com/name/nm0293509","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"May Parker","Marisa Tomei","https://www.imdb.com/name/nm0000673","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"King T'Chaka","John Kani","https://www.imdb.com/name/nm0434712","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Howard Stark","John Slattery","https://www.imdb.com/name/nm0805476","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Maria Stark","Hope Davis","https://www.imdb.com/name/nm0204706","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Miriam","Alfre Woodard","https://www.imdb.com/name/nm0005569","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"MRI Tech","Michael A. Cook","https://www.imdb.com/name/nm6355840","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Vicar","Laughton Parchment","https://www.imdb.com/name/nm7291225","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Josef / Super Soldier #1","Jackson Spidell","https://www.imdb.com/name/nm2144533","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Super Soldier #2","Yi Long","https://www.imdb.com/name/nm8276442","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Super Soldier #3","Heidi Moneymaker","https://www.imdb.com/name/nm1355942","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Super Soldier #4","Aaron Toney","https://www.imdb.com/name/nm1987604","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Super Soldier #5","Cale Schultz","https://www.imdb.com/name/nm4897417","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Voice of Zemo's Wife (voice)","Ann Russo","https://www.imdb.com/name/nm0958696","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Karpov","Gene Farber","https://www.imdb.com/name/nm1634949","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Security Chief","Florence Kasumba","https://www.imdb.com/name/nm0441042","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Attaché (as Cornell S. John)","Cornell John","https://www.imdb.com/name/nm0180259","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Man at Kiosk","Sven Hönig","https://www.imdb.com/name/nm1310244","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"GSG9 Task Force Gunner (as Joshua Peck)","Josh Peck","https://www.imdb.com/name/nm6626717","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"GSG9 Task Force Pilot (as Brent Mcgee)","Brent McGee","https://www.imdb.com/name/nm4230395","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"German Innkeeper","Be Satrazemis","https://www.imdb.com/name/nm8064423","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Raft Guard","Blair Jasin","https://www.imdb.com/name/nm3138500","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Barge Man #1 (as Oli Bigalke)","Oliver Bigalke","https://www.imdb.com/name/nm0046514","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Barge Man #2","Rafael Banasik","https://www.imdb.com/name/nm1929205","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Custodian (as David De Vries)","David de Vries","https://www.imdb.com/name/nm0212278","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Funeral Director","John Curran","https://www.imdb.com/name/nm1491348","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Woman in Lobby #1","Katie Amess","https://www.imdb.com/name/nm3665937","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Woman in Lobby #2 (as Austin Sanders)","Austin Saunders","https://www.imdb.com/name/nm6704171","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Delivery Truck Driver","Brett Gentile","https://www.imdb.com/name/nm1654820","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Matthew Anderson","https://www.imdb.com/name/nm8064425","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Andrew Botchwey","https://www.imdb.com/name/nm8064426","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Chase Bradfield","https://www.imdb.com/name/nm8064427","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Ernest Charles","https://www.imdb.com/name/nm8064428","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Hendricks Coates","https://www.imdb.com/name/nm8064429","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Ethan Condon","https://www.imdb.com/name/nm8535457","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Shen Dynes","https://www.imdb.com/name/nm8064430","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Nathaniel Ellis","https://www.imdb.com/name/nm8064431","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Jariah Ferguson","https://www.imdb.com/name/nm8064432","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Evan Ffrench","https://www.imdb.com/name/nm8064433","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Justin Freeman","https://www.imdb.com/name/nm8064434","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Ralphael Grand'Pierre","https://www.imdb.com/name/nm8064435","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Julian Grimes","https://www.imdb.com/name/nm8064436","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
"Choir","Aaron Hayes","https://www.imdb.com/name/nm8064437","Captain America: Civil War","https://www.imdb.com/title/tt3498820"
