"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Steve Rogers / Captain America";"Chris Evans";"https://www.imdb.com/name/nm0262635";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Nick Fury";"Samuel L. Jackson";"https://www.imdb.com/name/nm0000168";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Natasha Romanoff / Black Widow";"Scarlett Johansson";"https://www.imdb.com/name/nm0424060";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Alexander Pierce";"Robert Redford";"https://www.imdb.com/name/nm0000602";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Bucky Barnes / Winter Soldier";"Sebastian Stan";"https://www.imdb.com/name/nm1659221";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Sam Wilson / Falcon";"Anthony Mackie";"https://www.imdb.com/name/nm1107001";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Maria Hill";"Cobie Smulders";"https://www.imdb.com/name/nm1130627";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Brock Rumlow";"Frank Grillo";"https://www.imdb.com/name/nm0342029";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Jasper Sitwell (as Maximiliano Hernandez)";"Maximiliano Hernández";"https://www.imdb.com/name/nm0380073";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Kate / Agent 13";"Emily VanCamp";"https://www.imdb.com/name/nm0885840";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Peggy Carter";"Hayley Atwell";"https://www.imdb.com/name/nm2017943";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Dr. Arnim Zola";"Toby Jones";"https://www.imdb.com/name/nm0429363";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Smithsonian Guard";"Stan Lee";"https://www.imdb.com/name/nm0498278";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Jack Rollins";"Callan Mulvey";"https://www.imdb.com/name/nm0612534";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Councilwoman Hawley";"Jenny Agutter";"https://www.imdb.com/name/nm0000256";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Councilman Singh";"Bernard White";"https://www.imdb.com/name/nm0924502";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Councilman Rockwell";"Alan Dale";"https://www.imdb.com/name/nm0197638";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Councilman Yen";"Chin Han";"https://www.imdb.com/name/nm1977856";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Senator Stern";"Garry Shandling";"https://www.imdb.com/name/nm0788009";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Georges Batroc";"Georges St-Pierre";"https://www.imdb.com/name/nm2017048";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"French Pirate #1";"Salvator Xuereb";"https://www.imdb.com/name/nm0944688";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"French Pirate #2";"Brian Duffy";"https://www.imdb.com/name/nm0240501";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Engine Pirate";"Zack Duhame";"https://www.imdb.com/name/nm0241033";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"French Radio Pirate";"Adetokumboh M'Cormack";"https://www.imdb.com/name/nm0530771";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Skinny Steve";"Christopher George Sarris";"https://www.imdb.com/name/nm5887599";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Specialist Cameron Klein";"Aaron Himelstein";"https://www.imdb.com/name/nm0385391";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Launch Tech #2";"Allan Chanes";"https://www.imdb.com/name/nm4913786";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Dr. Fine (as Gozie Agbo)";"Joe Russo";"https://www.imdb.com/name/nm0751648";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"SHIELD Interrogator #1";"Christopher Markus";"https://www.imdb.com/name/nm1321655";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"SHIELD Interrogator #2";"Stephen McFeely";"https://www.imdb.com/name/nm1321656";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Scientist #1";"Pat Healy";"https://www.imdb.com/name/nm0372366";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Scientist #2";"Ed Brubaker";"https://www.imdb.com/name/nm3090268";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Apple Employee (as D C Pierson)";"D.C. Pierson";"https://www.imdb.com/name/nm2272628";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Com Tech #1";"Danny Pudi";"https://www.imdb.com/name/nm2209821";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Com Tech #2";"Bernard Zilinskas";"https://www.imdb.com/name/nm1012545";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Renata";"Branka Katic";"https://www.imdb.com/name/nm0441287";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Garcia";"Angela Russo-Otstot";"https://www.imdb.com/name/nm0962600";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Charlie XO";"Jon Sklaroff";"https://www.imdb.com/name/nm0804471";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Charlie Weapons Tech";"Chad Todhunter";"https://www.imdb.com/name/nm0865344";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"SHIELD Tech";"Abigail Marlowe";"https://www.imdb.com/name/nm1731499";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Lead SHIELD Pilot";"Jeremy Maxwell";"https://www.imdb.com/name/nm0561728";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Senior SHIELD Agent";"Emerson Brooks";"https://www.imdb.com/name/nm2358388";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"SHIELD Agent";"Evan Parke";"https://www.imdb.com/name/nm0661992";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Strike SGT. #1";"Ricardo Chacon";"https://www.imdb.com/name/nm1432825";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Strike SGT. #2 (as Griffin M. Allen)";"Griff Allen";"https://www.imdb.com/name/nm1158293";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Strike Agent";"Ann Russo";"https://www.imdb.com/name/nm0958696";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Strike Agent";"Joe Rosalina";"https://www.imdb.com/name/nm6391229";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Strike Agent";"Michael Debeljak";"https://www.imdb.com/name/nm6391230";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Strike Agent";"Eddie J. Fernandez";"https://www.imdb.com/name/nm0272961";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"25th Floor Strike Agent";"Jody Hart";"https://www.imdb.com/name/nm0366355";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Scudder";"Steven Culp";"https://www.imdb.com/name/nm0191688";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Human Resources Executive";"Derek Hughes";"https://www.imdb.com/name/nm1075398";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Doctor";"Wendy Hoopes";"https://www.imdb.com/name/nm0393812";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Lead EMT";"Ethan Rains";"https://www.imdb.com/name/nm1487671";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"CIA Instructor";"Dominic Rains";"https://www.imdb.com/name/nm1487670";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Capitol Hill Police";"Charles Wittman";"https://www.imdb.com/name/nm2103451";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Capitol Hill Police";"Andy Martinez Jr.";"https://www.imdb.com/name/nm1659044";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"FBI Agent";"Michael De Geus";"https://www.imdb.com/name/nm6391231";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"FBI Agent";"Terence O'Rourke";"https://www.imdb.com/name/nm6391232";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Committee Member";"Anne Grimenstein";"https://www.imdb.com/name/nm6391233";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Little Boy in the Smithsonian";"Dante Rosalina";"https://www.imdb.com/name/nm6391234";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
"Fury Car (voice)";"Robert Clotworthy";"https://www.imdb.com/name/nm0167139";"Captain America: The Winter Soldier";"https://www.imdb.com/title/tt1843866"
