"role","actorname","actorimdb","titlename","titleimdb"
"Thor","Chris Hemsworth","https://www.imdb.com/name/nm1165110","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Jane Foster","Natalie Portman","https://www.imdb.com/name/nm0000204","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Loki","Tom Hiddleston","https://www.imdb.com/name/nm1089991","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Odin","Anthony Hopkins","https://www.imdb.com/name/nm0000164","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Malekith","Christopher Eccleston","https://www.imdb.com/name/nm0001172","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Sif","Jaimie Alexander","https://www.imdb.com/name/nm1526352","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Fandral","Zachary Levi","https://www.imdb.com/name/nm1157048","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Volstagg","Ray Stevenson","https://www.imdb.com/name/nm0829032","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Hogun","Tadanobu Asano","https://www.imdb.com/name/nm0038355","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Heimdall","Idris Elba","https://www.imdb.com/name/nm0252961","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Frigga","Rene Russo","https://www.imdb.com/name/nm0000623","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Algrim / Kurse","Adewale Akinnuoye-Agbaje","https://www.imdb.com/name/nm0015382","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Darcy Lewis","Kat Dennings","https://www.imdb.com/name/nm0993507","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Erik Selvig","Stellan Skarsgård","https://www.imdb.com/name/nm0001745","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
"Eir","Alice Krige","https://www.imdb.com/name/nm0000481","Thor: The Dark World","https://www.imdb.com/title/tt1981115"
