"role","actorname","actorimdb","titlename","titleimdb"
"Tony Stark / Iron Man","Robert Downey Jr.","https://www.imdb.com/name/nm0000375","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Thor","Chris Hemsworth","https://www.imdb.com/name/nm1165110","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Bruce Banner / Hulk","Mark Ruffalo","https://www.imdb.com/name/nm0749263","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Steve Rogers / Captain America","Chris Evans","https://www.imdb.com/name/nm0262635","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Natasha Romanoff / Black Widow","Scarlett Johansson","https://www.imdb.com/name/nm0424060","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"James Rhodes / War Machine","Don Cheadle","https://www.imdb.com/name/nm0000332","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Doctor Strange","Benedict Cumberbatch","https://www.imdb.com/name/nm1212722","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Peter Parker / Spider-Man","Tom Holland","https://www.imdb.com/name/nm4043618","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"T'Challa / Black Panther","Chadwick Boseman","https://www.imdb.com/name/nm1569276","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Gamora","Zoe Saldana","https://www.imdb.com/name/nm0757855","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Nebula","Karen Gillan","https://www.imdb.com/name/nm2394794","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Loki","Tom Hiddleston","https://www.imdb.com/name/nm1089991","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Vision","Paul Bettany","https://www.imdb.com/name/nm0079273","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Wanda Maximoff / Scarlet Witch","Elizabeth Olsen","https://www.imdb.com/name/nm0647634","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Sam Wilson / Falcon","Anthony Mackie","https://www.imdb.com/name/nm1107001","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Bucky Barnes / Winter Soldier","Sebastian Stan","https://www.imdb.com/name/nm1659221","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Heimdall","Idris Elba","https://www.imdb.com/name/nm0252961","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Okoye","Danai Gurira","https://www.imdb.com/name/nm1775091","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Eitri","Peter Dinklage","https://www.imdb.com/name/nm0227759","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Wong","Benedict Wong","https://www.imdb.com/name/nm0938950","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Mantis","Pom Klementieff","https://www.imdb.com/name/nm2962353","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Drax","Dave Bautista","https://www.imdb.com/name/nm1176985","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Groot (voice)","Vin Diesel","https://www.imdb.com/name/nm0004874","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Rocket (voice)","Bradley Cooper","https://www.imdb.com/name/nm0177896","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Pepper Potts","Gwyneth Paltrow","https://www.imdb.com/name/nm0000569","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"The Collector","Benicio Del Toro","https://www.imdb.com/name/nm0001125","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Thanos","Josh Brolin","https://www.imdb.com/name/nm0000982","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Peter Quill / Star-Lord","Chris Pratt","https://www.imdb.com/name/nm0695435","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"On-Set Rocket","Sean Gunn","https://www.imdb.com/name/nm0348231","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Secretary of State Thaddeus Ross","William Hurt","https://www.imdb.com/name/nm0000458","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Shuri","Letitia Wright","https://www.imdb.com/name/nm4004793","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Cull Obsidian / On-Set Groot","Terry Notary","https://www.imdb.com/name/nm1024953","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Ebony Maw","Tom Vaughan-Lawlor","https://www.imdb.com/name/nm2534167","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Proxima Midnight","Carrie Coon","https://www.imdb.com/name/nm4689420","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Corvus Glaive (as Michael Shaw)","Michael James Shaw","https://www.imdb.com/name/nm4473692","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Bus Driver","Stan Lee","https://www.imdb.com/name/nm0498278","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"M'Baku","Winston Duke","https://www.imdb.com/name/nm6328300","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Ayo","Florence Kasumba","https://www.imdb.com/name/nm0441042","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Voice of Friday (voice)","Kerry Condon","https://www.imdb.com/name/nm0174403","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"On-Set Proxima Midnight","Monique Ganderton","https://www.imdb.com/name/nm1244650","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Ned","Jacob Batalon","https://www.imdb.com/name/nm8188622","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Cindy","Tiffany Espensen","https://www.imdb.com/name/nm2556904","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Sally","Isabella Amara","https://www.imdb.com/name/nm4194645","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Tiny","Ethan Dizon","https://www.imdb.com/name/nm3219917","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
"Young Gamora","Ariana Greenblatt","https://www.imdb.com/name/nm7567556","Avengers: Infinity War","https://www.imdb.com/title/tt4154756"
