"role","actorname","actorimdb","titlename","titleimdb"
"Jessica Jones 27 episodes, 2015-2018","Krysten Ritter","https://www.imdb.com/name/nm1269983","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Trish Walker 25 episodes, 2015-2018","Rachael Taylor","https://www.imdb.com/name/nm1592225","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Malcolm Ducasse 22 episodes, 2015-2018","Eka Darville","https://www.imdb.com/name/nm2794212","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Jeri Hogarth 21 episodes, 2015-2018","Carrie-Anne Moss","https://www.imdb.com/name/nm0005251","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Kilgrave 12 episodes, 2015-2018","David Tennant","https://www.imdb.com/name/nm0855039","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Alisa Jones 11 episodes, 2018","Janet McTeer","https://www.imdb.com/name/nm0005216","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Oscar Arocho 10 episodes, 2018","J.R. Ramirez","https://www.imdb.com/name/nm2824707","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Will Simpson 10 episodes, 2015-2018","Wil Traval","https://www.imdb.com/name/nm1505157","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Inez Green 8 episodes, 2018","Leah Gibson","https://www.imdb.com/name/nm2706397","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Pam 8 episodes, 2015","Susie Abromeit","https://www.imdb.com/name/nm2608932","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Dorothy Walker 8 episodes, 2015-2018","Rebecca De Mornay","https://www.imdb.com/name/nm0000360","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Luke Cage 7 episodes, 2015","Mike Colter","https://www.imdb.com/name/nm1591496","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Hope Shlottman 7 episodes, 2015","Erin Moriarty","https://www.imdb.com/name/nm3929195","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Wendy Ross-Hogarth 7 episodes, 2015","Robin Weigert","https://www.imdb.com/name/nm0917848","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Nicole 7 episodes, 2015-2018","Nichole Yannetty","https://www.imdb.com/name/nm5748419","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Pryce Cheng 6 episodes, 2018","Terry Chen","https://www.imdb.com/name/nm0155389","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Dr. Karl Malus 6 episodes, 2018","Callum Keith Rennie","https://www.imdb.com/name/nm0719678","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Griffin Sinclair 6 episodes, 2018","Hal Ozsan","https://www.imdb.com/name/nm1230639","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Detective Eddy Costa 6 episodes, 2018","John Ventimiglia","https://www.imdb.com/name/nm0893247","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Vido Arocho 6 episodes, 2018","Kevin Chacon","https://www.imdb.com/name/nm9681055","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Albert Thompson 5 episodes, 2015","Michael Siberry","https://www.imdb.com/name/nm0796251","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Detective Ruth Sunday 5 episodes, 2018","Lisa Tharps","https://www.imdb.com/name/nm1258648","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Robyn 5 episodes, 2015","Colby Minifie","https://www.imdb.com/name/nm2281371","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Jackson 5 episodes, 2015","Ryan Farrell","https://www.imdb.com/name/nm3261682","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Donald 5 episodes, 2015","Paul Pryce","https://www.imdb.com/name/nm3348908","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Ruben 4 episodes, 2015","Kieran Mulcare","https://www.imdb.com/name/nm1566152","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Steven Benowitz 4 episodes, 2018","Maury Ginsberg","https://www.imdb.com/name/nm0320143","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Shane 4 episodes, 2018","Eden Marryshow","https://www.imdb.com/name/nm0097336","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Det. Oscar Clemons 4 episodes, 2015","Clarke Peters","https://www.imdb.com/name/nm0676370","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Young Jessica 4 episodes, 2015-2018","Elizabeth Cappuccino","https://www.imdb.com/name/nm4327544","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Clair 4 episodes, 2015","Danielle Ferland","https://www.imdb.com/name/nm0272703","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Emma 4 episodes, 2015","Gillian Glasco","https://www.imdb.com/name/nm3952904","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Louise Thompson 4 episodes, 2015","Lisa Emery","https://www.imdb.com/name/nm0256318","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Linda Chao 3 episodes, 2018","Angel Desai","https://www.imdb.com/name/nm0220808","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Roy Healy 3 episodes, 2015","Joseph Ragno","https://www.imdb.com/name/nm0706554","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Reva Connors 3 episodes, 2015","Parisa Fitz-Henley","https://www.imdb.com/name/nm1406792","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Maury Tuttlebaum 3 episodes, 2015-2018","Daniel Marcus","https://www.imdb.com/name/nm3932423","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Sissy Garcia 2 episodes, 2015","Charleigh E. Parker","https://www.imdb.com/name/nm0662128","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Dale Holiday 2 episodes, 2018","Brian Hutchison","https://www.imdb.com/name/nm0404427","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Zack 2 episodes, 2015","Kobi Libii","https://www.imdb.com/name/nm3633426","Jessica Jones","https://www.imdb.com/title/tt2357547"
"Young Kilgrave 2 episodes, 2015","James Freedson-Jackson","https://www.imdb.com/name/nm6627667","Jessica Jones","https://www.imdb.com/title/tt2357547"
