"role","actorname","actorimdb","titlename","titleimdb"
"Hope van Dyne / The Wasp","Evangeline Lilly","https://www.imdb.com/name/nm1431940","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Nebula","Karen Gillan","https://www.imdb.com/name/nm2394794","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Natasha Romanoff / Black Widow","Scarlett Johansson","https://www.imdb.com/name/nm0424060","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Scott Lang / Ant-Man","Paul Rudd","https://www.imdb.com/name/nm0748620","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Thor","Chris Hemsworth","https://www.imdb.com/name/nm1165110","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Thanos","Josh Brolin","https://www.imdb.com/name/nm0000982","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Carol Danvers / Captain Marvel","Brie Larson","https://www.imdb.com/name/nm0488953","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Janet Van Dyne","Michelle Pfeiffer","https://www.imdb.com/name/nm0000201","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Tony Stark / Iron Man","Robert Downey Jr.","https://www.imdb.com/name/nm0000375","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Bucky Barnes / Winter Soldier","Sebastian Stan","https://www.imdb.com/name/nm1659221","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Steve Rogers / Captain America","Chris Evans","https://www.imdb.com/name/nm0262635","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Clint Barton / Hawkeye","Jeremy Renner","https://www.imdb.com/name/nm0719637","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Drax","Dave Bautista","https://www.imdb.com/name/nm1176985","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"T'Challa / Black Panther","Chadwick Boseman","https://www.imdb.com/name/nm1569276","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Bruce Banner / Hulk","Mark Ruffalo","https://www.imdb.com/name/nm0749263","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Happy Hogan","Jon Favreau","https://www.imdb.com/name/nm0269463","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Harley Keener","Ty Simpkins","https://www.imdb.com/name/nm1339223","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Pepper Potts","Gwyneth Paltrow","https://www.imdb.com/name/nm0000569","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"James Rhodes / War Machine","Don Cheadle","https://www.imdb.com/name/nm0000332","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
,"Hiroyuki Sanada","https://www.imdb.com/name/nm0760796","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Teen Groot","Terry Notary","https://www.imdb.com/name/nm1024953","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Wounded Business Man","Michael Pierino Miller","https://www.imdb.com/name/nm3327628","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Jabari Warrior","Floyd Anthony Johns Jr.","https://www.imdb.com/name/nm5545351","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"NY Jogger","Maria Z. Wilson","https://www.imdb.com/name/nm9212210","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"1970's Scientist / Lab Worker","Miles Webb","https://www.imdb.com/name/nm8811874","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Support Group Man","Jimmy Ray Pickens","https://www.imdb.com/name/nm0681790","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Soldier in Fatigues","Justin Slaughter","https://www.imdb.com/name/nm9278326","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"S.H.I.E.L.D. Agent","Michael A. Cook","https://www.imdb.com/name/nm6355840","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Soldier in Fatigues","Timothy Carr","https://www.imdb.com/name/nm7618459","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Cadet","Benjamin Weaver","https://www.imdb.com/name/nm5234677","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Swat Shield agent","Jason m Edwards","https://www.imdb.com/name/nm8618333","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Gate Guard","Brent McGee","https://www.imdb.com/name/nm4230395","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Wakandan","Trayvon Williams","https://www.imdb.com/name/nm6612527","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Cadet","Greg Tiffan","https://www.imdb.com/name/nm9542184","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Military Secretary","Renah Gallagher","https://www.imdb.com/name/nm8543248","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"SHIELD Agent","Cameron Brumbelow","https://www.imdb.com/name/nm7918809","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"National Guard Sgt.","Daniela Gaskie","https://www.imdb.com/name/nm7877420","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Japanese Woman","Ami Fujimoto","https://www.imdb.com/name/nm4246243","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Soldier","Sammy Andred","https://www.imdb.com/name/nm9908738","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"College Student (uncredited)","Raul Alcantar","https://www.imdb.com/name/nm9488863","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"S.H.I.E.L.D. Agent (uncredited)","Jacob Evans","https://www.imdb.com/name/nm8609436","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Drill Sergeant (uncredited)","Brent Moorer Gaskins","https://www.imdb.com/name/nm7476062","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"S.H.I.E.L.D. SWAT Member (uncredited)","Anthony B. Harris","https://www.imdb.com/name/nm3770779","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Military Officer (uncredited)","Maxwell Highsmith","https://www.imdb.com/name/nm4015649","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Army Non-Commissioned Officer (uncredited)","Shaun McMillan","https://www.imdb.com/name/nm9345965","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Security Guard (uncredited)","Robert Payen","https://www.imdb.com/name/nm9320991","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Military Cadet (uncredited)","Paul Pillsbury","https://www.imdb.com/name/nm7591351","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Military Officer (uncredited)","James Robert Taylor","https://www.imdb.com/name/nm8058398","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
"Military Officer (uncredited)","Robert Tinsley","https://www.imdb.com/name/nm9990032","Untitled Avengers Movie","https://www.imdb.com/title/tt4154796"
