"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Dr. Stephen Strange";"Benedict Cumberbatch";"https://www.imdb.com/name/nm1212722";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Mordo";"Chiwetel Ejiofor";"https://www.imdb.com/name/nm0252230";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Dr. Christine Palmer";"Rachel McAdams";"https://www.imdb.com/name/nm1046097";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Wong";"Benedict Wong";"https://www.imdb.com/name/nm0938950";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Kaecilius";"Mads Mikkelsen";"https://www.imdb.com/name/nm0586568";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"The Ancient One";"Tilda Swinton";"https://www.imdb.com/name/nm0842770";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Dr. Nicodemus West";"Michael Stuhlbarg";"https://www.imdb.com/name/nm0836121";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Jonathan Pangborn";"Benjamin Bratt";"https://www.imdb.com/name/nm0000973";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Lucian / Strong Zealot";"Scott Adkins";"https://www.imdb.com/name/nm0012078";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Brunette Zealot";"Zara Phythian";"https://www.imdb.com/name/nm2333360";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Tall Zealot";"Alaa Safi";"https://www.imdb.com/name/nm2349733";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Blonde Zealot";"Katrina Durden";"https://www.imdb.com/name/nm7167836";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Hamir";"Topo Wresniwiro";"https://www.imdb.com/name/nm8508973";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Sol Rama";"Umit Ulgen";"https://www.imdb.com/name/nm3203072";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Tina Minoru (as Linda Duan)";"Linda Louise Duan";"https://www.imdb.com/name/nm8091879";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Daniel Drumm";"Mark Anthony Brighton";"https://www.imdb.com/name/nm1347940";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Dr. Patel";"Meera Syal";"https://www.imdb.com/name/nm0842934";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Dr. Bruner";"Amy Landecker";"https://www.imdb.com/name/nm0484541";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Nurse Billy";"Adam Pelta-Pauls";"https://www.imdb.com/name/nm7539970";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Dr. Garrison";"Sarah Malin";"https://www.imdb.com/name/nm0539643";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Dr. Weiss";"Eben Young";"https://www.imdb.com/name/nm2940429";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Physical Therapist";"Kobna Holdbrook-Smith";"https://www.imdb.com/name/nm1506183";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Concerned Doctor";"Elizabeth Healey";"https://www.imdb.com/name/nm1404432";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Reluctant Surgeon";"Guillaume Faure";"https://www.imdb.com/name/nm3910752";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Mugger";"Daniel Dow";"https://www.imdb.com/name/nm5080879";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Bus Passenger";"Stan Lee";"https://www.imdb.com/name/nm0498278";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Kamar-Taj Librarian";"Ezra Khan";"https://www.imdb.com/name/nm1542545";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Bullet Patient's Wife";"Kimberly Van Luin";"https://www.imdb.com/name/nm1288812";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Pat Kiernan";"Pat Kiernan";"https://www.imdb.com/name/nm0452592";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Junior Doctor (uncredited)";"Alister Albert";"https://www.imdb.com/name/nm5359185";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Alexis Scrub Nurse (uncredited)";"Moya Allen";"https://www.imdb.com/name/nm5285837";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Street Passerby (uncredited)";"Raj Awasti";"https://www.imdb.com/name/nm5951787";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Orderly (uncredited)";"Annarie Boor";"https://www.imdb.com/name/nm7707203";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Orderly (uncredited)";"Dante Briggins";"https://www.imdb.com/name/nm4756154";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Physio Patient (uncredited)";"Jill Buchanan";"https://www.imdb.com/name/nm5725422";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"New York businessman (uncredited)";"John Capel";"https://www.imdb.com/name/nm5081416";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Hong Kong Woman (uncredited)";"Alice Chen";"https://www.imdb.com/name/nm1667823";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Hong Kong Daughter (uncredited)";"Cheryl Chu";"https://www.imdb.com/name/nm7675707";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Orderly (uncredited)";"Bern Collaço";"https://www.imdb.com/name/nm0171625";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"New York construction worker (uncredited)";"Gary Davies";"https://www.imdb.com/name/nm8211290";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Hong Kong Son #2 (uncredited)";"Ryan Dizon";"https://www.imdb.com/name/nm8775746";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Hong Kong Son #1 (uncredited)";"Zachary Dizon";"https://www.imdb.com/name/nm7741103";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
"Passerby (uncredited)";"Cameron Edwards";"https://www.imdb.com/name/nm7487608";"Doctor Strange";"https://www.imdb.com/title/tt1211837"
