"role","actorname","actorimdb","titlename","titleimdb"
"Frank Castle / ... 16 episodes, 2017","Jon Bernthal","https://www.imdb.com/name/nm1256532","The Punisher","https://www.imdb.com/title/tt5675620"
"Dinah Madani 13 episodes, 2017","Amber Rose Revah","https://www.imdb.com/name/nm2362244","The Punisher","https://www.imdb.com/title/tt5675620"
"David Lieberman / ... 12 episodes, 2017","Ebon Moss-Bachrach","https://www.imdb.com/name/nm0609114","The Punisher","https://www.imdb.com/title/tt5675620"
"Billy Russo 12 episodes, 2017","Ben Barnes","https://www.imdb.com/name/nm1602660","The Punisher","https://www.imdb.com/title/tt5675620"
"Sarah Lieberman 9 episodes, 2017","Jaime Ray Newman","https://www.imdb.com/name/nm0628120","The Punisher","https://www.imdb.com/title/tt5675620"
"Zach Lieberman 9 episodes, 2017","Kobi Frumer","https://www.imdb.com/name/nm7760882","The Punisher","https://www.imdb.com/title/tt5675620"
"Rawlins 8 episodes, 2017","Paul Schulze","https://www.imdb.com/name/nm0776584","The Punisher","https://www.imdb.com/title/tt5675620"
"Sam Stein 8 episodes, 2017","Michael Nathanson","https://www.imdb.com/name/nm0622294","The Punisher","https://www.imdb.com/title/tt5675620"
"Leo Lieberman 8 episodes, 2017","Ripley Sobo","https://www.imdb.com/name/nm4680144","The Punisher","https://www.imdb.com/title/tt5675620"
"Lewis Walcott / ... 7 episodes, 2017","Daniel Webber","https://www.imdb.com/name/nm3206486","The Punisher","https://www.imdb.com/title/tt5675620"
"Curtis Hoyle 7 episodes, 2017","Jason R. Moore","https://www.imdb.com/name/nm2773505","The Punisher","https://www.imdb.com/title/tt5675620"
"Maria Castle 7 episodes, 2017","Kelli Barrett","https://www.imdb.com/name/nm1799058","The Punisher","https://www.imdb.com/title/tt5675620"
"Rafael Hernandez 6 episodes, 2017","Tony Plana","https://www.imdb.com/name/nm0686470","The Punisher","https://www.imdb.com/title/tt5675620"
"Isaac 5 episodes, 2017","Jordan Mahome","https://www.imdb.com/name/nm0537063","The Punisher","https://www.imdb.com/title/tt5675620"
"Karen Page 4 episodes, 2017","Deborah Ann Woll","https://www.imdb.com/name/nm2832695","The Punisher","https://www.imdb.com/title/tt5675620"
"Farah Madani 4 episodes, 2017","Shohreh Aghdashloo","https://www.imdb.com/name/nm0013037","The Punisher","https://www.imdb.com/title/tt5675620"
"Frank Castle Jr. 4 episodes, 2017","Aidan Pierce Brennan","https://www.imdb.com/name/nm6823359","The Punisher","https://www.imdb.com/title/tt5675620"
"Lisa Castle 4 episodes, 2017","Nicolette Pierini","https://www.imdb.com/name/nm3632172","The Punisher","https://www.imdb.com/title/tt5675620"
"Marion James 3 episodes, 2017","Mary Elizabeth Mastrantonio","https://www.imdb.com/name/nm0001512","The Punisher","https://www.imdb.com/title/tt5675620"
"Carson Wolf 3 episodes, 2017","C. Thomas Howell","https://www.imdb.com/name/nm0001367","The Punisher","https://www.imdb.com/title/tt5675620"
"O'Connor 3 episodes, 2017","Delaney Williams","https://www.imdb.com/name/nm0216257","The Punisher","https://www.imdb.com/title/tt5675620"
"Gunner 3 episodes, 2017","Jeb Kreager","https://www.imdb.com/name/nm0470505","The Punisher","https://www.imdb.com/title/tt5675620"
"Ahmad Zubair 3 episodes, 2017","Shez Sardar","https://www.imdb.com/name/nm1870648","The Punisher","https://www.imdb.com/title/tt5675620"
"Army Veteran 3 episodes, 2017","Justin Michael Woods","https://www.imdb.com/name/nm2969753","The Punisher","https://www.imdb.com/title/tt5675620"
"Senator Stan Ori 2 episodes, 2017","Rick Holmes","https://www.imdb.com/name/nm0392021","The Punisher","https://www.imdb.com/title/tt5675620"
"Ellison 2 episodes, 2017","Geoffrey Cantor","https://www.imdb.com/name/nm0134666","The Punisher","https://www.imdb.com/title/tt5675620"
"Clay Wilson 2 episodes, 2017","Tim Guinee","https://www.imdb.com/name/nm0347375","The Punisher","https://www.imdb.com/title/tt5675620"
