"role","actorname","actorimdb","titlename","titleimdb"
"Peggy Carter","Hayley Atwell","https://www.imdb.com/name/nm2017943","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Agent Flynn","Bradley Whitford","https://www.imdb.com/name/nm0925966","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Howard Stark","Dominic Cooper","https://www.imdb.com/name/nm1002641","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Hefty Guard","Tim Trobec","https://www.imdb.com/name/nm1617308","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Analyst","Jon Barinholtz","https://www.imdb.com/name/nm2780474","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Guard #1","Anthony Molinari","https://www.imdb.com/name/nm1190376","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Goon","Jess King","https://www.imdb.com/name/nm0454857","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Goon #1 (as Mark Wagner)","Mark Aaron Wagner","https://www.imdb.com/name/nm0906010","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Goon #2","David Hutchison","https://www.imdb.com/name/nm1435830","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Goon #3","Jacob McCafferty","https://www.imdb.com/name/nm3335644","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Head Goon","Tim Sitarz","https://www.imdb.com/name/nm0803196","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Poolside Woman #1","Lindsey Gort","https://www.imdb.com/name/nm2789953","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Poolside Woman #2","Sarah Schreiber","https://www.imdb.com/name/nm2536104","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Disembodied Voice (voice)","Shane Black","https://www.imdb.com/name/nm0000948","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Captain America / Steve Rogers (archive footage)","Chris Evans","https://www.imdb.com/name/nm0262635","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Agent Johnson (uncredited)","Greg Haines","https://www.imdb.com/name/nm2388519","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
"Dum Dum Dugan (uncredited)","Neal McDonough","https://www.imdb.com/name/nm0568180","Marvel One-Shot: Agent Carter","https://www.imdb.com/title/tt3067038"
