"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Peter Quill";"Chris Pratt";"https://www.imdb.com/name/nm0695435";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Gamora";"Zoe Saldana";"https://www.imdb.com/name/nm0757855";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Drax";"Dave Bautista";"https://www.imdb.com/name/nm1176985";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Groot (voice)";"Vin Diesel";"https://www.imdb.com/name/nm0004874";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Rocket (voice)";"Bradley Cooper";"https://www.imdb.com/name/nm0177896";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Ronan";"Lee Pace";"https://www.imdb.com/name/nm1195855";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Yondu Udonta";"Michael Rooker";"https://www.imdb.com/name/nm0740264";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Nebula";"Karen Gillan";"https://www.imdb.com/name/nm2394794";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Korath";"Djimon Hounsou";"https://www.imdb.com/name/nm0005023";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Corpsman Dey";"John C. Reilly";"https://www.imdb.com/name/nm0000604";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Nova Prime";"Glenn Close";"https://www.imdb.com/name/nm0000335";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"The Collector";"Benicio Del Toro";"https://www.imdb.com/name/nm0001125";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Meredith Quill";"Laura Haddock";"https://www.imdb.com/name/nm2652095";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Kraglin / On Set Rocket";"Sean Gunn";"https://www.imdb.com/name/nm0348231";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Denarian Saal";"Peter Serafinowicz";"https://www.imdb.com/name/nm0784818";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"The Broker";"Christopher Fairbank";"https://www.imdb.com/name/nm0265457";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"On Set Groot";"Krystian Godlewski";"https://www.imdb.com/name/nm5395388";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Young Quill";"Wyatt Oleff";"https://www.imdb.com/name/nm5200476";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Grandpa";"Gregg Henry";"https://www.imdb.com/name/nm0001344";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Meredith's Mother";"Janis Ahern";"https://www.imdb.com/name/nm4273260";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Meredith's Brother";"Solomon Mousley";"https://www.imdb.com/name/nm5921715";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Meredith's Best Friend";"Lindsay Morton";"https://www.imdb.com/name/nm2875092";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Dr. Fitzgibbon";"Robert Firth";"https://www.imdb.com/name/nm0278755";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Bereet";"Melia Kreiling";"https://www.imdb.com/name/nm4218810";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Horuz";"Tom Proctor";"https://www.imdb.com/name/nm0698354";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Horuz's Mate";"Nick Holmes";"https://www.imdb.com/name/nm0391980";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Sacrifice Nova Corpsman";"Max Wrottesley";"https://www.imdb.com/name/nm0943031";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Xandarian Ladies' Man";"Stan Lee";"https://www.imdb.com/name/nm0498278";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Pretty Xandarian";"Nicole Alexandra Shipley";"https://www.imdb.com/name/nm4397494";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Nova Arresting Pilot";"Sharif Atkins";"https://www.imdb.com/name/nm0040653";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Corpsman Dey's Partner";"Brendan Fehr";"https://www.imdb.com/name/nm0270451";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Kree Ambassador";"Tomas Arana";"https://www.imdb.com/name/nm0032962";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Nova Prime's Assistant";"Mikaela Hoover";"https://www.imdb.com/name/nm2409479";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Head Riot Guard (as Emmett J. Scanlan)";"Emmett J Scanlan";"https://www.imdb.com/name/nm1631384";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
"Angry Guard";"Dominic Grant";"https://www.imdb.com/name/nm5513987";"Guardians of the Galaxy";"https://www.imdb.com/title/tt2015381"
