"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Agent Coulson";"Clark Gregg";"https://www.imdb.com/name/nm0163988";"Marvel One-Shot: The Consultant";"https://www.imdb.com/title/tt2011118"
"Agent Sitwell";"Maximiliano Hernández";"https://www.imdb.com/name/nm0380073";"Marvel One-Shot: The Consultant";"https://www.imdb.com/title/tt2011118"
"Night Waitress";"Deborah Knox";"https://www.imdb.com/name/nm0581789";"Marvel One-Shot: The Consultant";"https://www.imdb.com/title/tt2011118"
"Tony Stark (archive footage) (uncredited)";"Robert Downey Jr.";"https://www.imdb.com/name/nm0000375";"Marvel One-Shot: The Consultant";"https://www.imdb.com/title/tt2011118"
"General 'Thunderbolt' Ross (archive footage) (uncredited)";"William Hurt";"https://www.imdb.com/name/nm0000458";"Marvel One-Shot: The Consultant";"https://www.imdb.com/title/tt2011118"
