"role","actorname","actorimdb","titlename","titleimdb"
"Slingshot / ... 6 episodes, 2016","Natalia Cordova-Buckley","https://www.imdb.com/name/nm3086285","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Colonel Victor Ramon 4 episodes, 2016","Yancey Arias","https://www.imdb.com/name/nm0034733","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Daisy Johnson / ... 3 episodes, 2016","Chloe Bennet","https://www.imdb.com/name/nm4032297","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Henchman #2 3 episodes, 2016","Hiroo Minami","https://www.imdb.com/name/nm2098100","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Melinda May 2 episodes, 2016","Ming-Na Wen","https://www.imdb.com/name/nm0001840","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Alpha Dog 2 episodes, 2016","Dale Pavinski","https://www.imdb.com/name/nm3107498","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Henchman #1 2 episodes, 2016","Matt Berberi","https://www.imdb.com/name/nm2800683","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Phil Coulson 1 episode, 2016","Clark Gregg","https://www.imdb.com/name/nm0163988","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Leo Fitz 1 episode, 2016","Iain De Caestecker","https://www.imdb.com/name/nm0207691","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Jeffrey Mace 1 episode, 2016","Jason O'Mara","https://www.imdb.com/name/nm0641816","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Jemma Simmons 1 episode, 2016","Elizabeth Henstridge","https://www.imdb.com/name/nm4464857","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Agent Cecilio 1 episode, 2016","Deren Tadlock","https://www.imdb.com/name/nm1813099","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Quinjet Pilot 1 episode, 2016","Marcus Jordan","https://www.imdb.com/name/nm2669694","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Alphonso 'Mack' Mackenzie 1 episode, 2016","Henry Simmons","https://www.imdb.com/name/nm0005431","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Watchdog #1 1 episode, 2016","Craig Baxley Jr.","https://www.imdb.com/name/nm0062639","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Henchman #1 1 episode, 2016","Mario Perez","https://www.imdb.com/name/nm1928456","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Agent Anderson 1 episode, 2016","Alexander Wraith","https://www.imdb.com/name/nm2066764","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"1 episode, 2016","Jermaine Brantley","https://www.imdb.com/name/nm4708409","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Quinjet Pilot 1 episode, 2016","Marcus Jordan","https://www.imdb.com/name/nm3660420","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
"Man in Photograph in Coulson's Box (uncredited) 1 episode, 2016","Stan Lee","https://www.imdb.com/name/nm0498278","Agents of S.H.I.E.L.D.: Slingshot","https://www.imdb.com/title/tt6313900"
