"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Carol Danvers / Captain Marvel";"Brie Larson";"https://www.imdb.com/name/nm0488953";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Minn-Erva";"Gemma Chan";"https://www.imdb.com/name/nm2110418";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Nick Fury";"Samuel L. Jackson";"https://www.imdb.com/name/nm0000168";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Ben Mendelsohn";"https://www.imdb.com/name/nm0578853";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Ronan";"Lee Pace";"https://www.imdb.com/name/nm1195855";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Walter Lawson / Mar-Vell";"Jude Law";"https://www.imdb.com/name/nm0000179";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Young Carol Danvers";"Mckenna Grace";"https://www.imdb.com/name/nm5085683";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Chuku Modu";"https://www.imdb.com/name/nm6729880";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Annette Bening";"https://www.imdb.com/name/nm0000906";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Korath";"Djimon Hounsou";"https://www.imdb.com/name/nm0005023";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Coulson";"Clark Gregg";"https://www.imdb.com/name/nm0163988";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Steve Danvers";"Colin Ford";"https://www.imdb.com/name/nm1225406";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Robert Kazinsky";"https://www.imdb.com/name/nm2059117";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Pete Ploszek";"https://www.imdb.com/name/nm5293935";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Lashana Lynch";"https://www.imdb.com/name/nm2736476";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Joseph Danvers";"Kenneth Mitchell";"https://www.imdb.com/name/nm1058987";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Rune Temte";"https://www.imdb.com/name/nm0854815";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Umpire";"Jeff Bragg";"https://www.imdb.com/name/nm0103900";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Algenis Perez Soto";"https://www.imdb.com/name/nm2714417";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Clayton Chitty";"https://www.imdb.com/name/nm4469146";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Cadet Livanson";"Connor Ryan";"https://www.imdb.com/name/nm6762004";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Gaston Dalmau";"https://www.imdb.com/name/nm1741900";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Skrull Spy";"Adam Hart";"https://www.imdb.com/name/nm2478165";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Business Commuter";"Damon O'Daniel";"https://www.imdb.com/name/nm0640581";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"Rayniel Rufino";"https://www.imdb.com/name/nm2401889";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
;"DaJuan Rippy";"https://www.imdb.com/name/nm4126892";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Pegasus Gaurd Ficke";"Mel Powell";"https://www.imdb.com/name/nm9871432";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Air Force Pilot: PYRO";"DJ Jenkins";"https://www.imdb.com/name/nm7090759";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"S.H.I.E.L.D. Agent";"Danny Wendt";"https://www.imdb.com/name/nm6345579";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"S.H.I.E.L.D. Agent";"John Gettier";"https://www.imdb.com/name/nm8074962";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
"Teenager";"Gil De St. Jeor";"https://www.imdb.com/name/nm9789261";"Captain Marvel";"https://www.imdb.com/title/tt4154664"
