"role","actorname","actorimdb","titlename","titleimdb"
"Luke Cage / ... 26 episodes, 2016-2018","Mike Colter","https://www.imdb.com/name/nm1591496","Luke Cage","https://www.imdb.com/title/tt3322314"
"Misty Knight 26 episodes, 2016-2018","Simone Missick","https://www.imdb.com/name/nm1395855","Luke Cage","https://www.imdb.com/title/tt3322314"
"Hernan 'Shades' Alvarez 23 episodes, 2016-2018","Theo Rossi","https://www.imdb.com/name/nm0744331","Luke Cage","https://www.imdb.com/title/tt3322314"
"Mariah Dillard 23 episodes, 2016-2018","Alfre Woodard","https://www.imdb.com/name/nm0005569","Luke Cage","https://www.imdb.com/title/tt3322314"
"Detective Mark Bailey 15 episodes, 2016-2018","Justin Swain","https://www.imdb.com/name/nm2475803","Luke Cage","https://www.imdb.com/title/tt3322314"
"Sugar 14 episodes, 2016-2018","Sean Ringgold","https://www.imdb.com/name/nm2548468","Luke Cage","https://www.imdb.com/title/tt3322314"
"Alex Wesley 13 episodes, 2016-2018","John Clarence Stewart","https://www.imdb.com/name/nm6525603","Luke Cage","https://www.imdb.com/title/tt3322314"
"Inspector Priscilla Ridley / ... 12 episodes, 2016-2018","Karen Pittman","https://www.imdb.com/name/nm3204288","Luke Cage","https://www.imdb.com/title/tt3322314"
"Bobby Fish 12 episodes, 2016-2018","Ron Cephas Jones","https://www.imdb.com/name/nm0429171","Luke Cage","https://www.imdb.com/title/tt3322314"
"D.W. Griffith 12 episodes, 2016-2018","Jeremiah Craft","https://www.imdb.com/name/nm6221267","Luke Cage","https://www.imdb.com/title/tt3322314"
"John 'Bushmaster' McIver 11 episodes, 2018","Mustafa Shakir","https://www.imdb.com/name/nm1296458","Luke Cage","https://www.imdb.com/title/tt3322314"
"Claire Temple 11 episodes, 2016-2018","Rosario Dawson","https://www.imdb.com/name/nm0206257","Luke Cage","https://www.imdb.com/title/tt3322314"
"Tilda Johnson 10 episodes, 2018","Gabrielle Dennis","https://www.imdb.com/name/nm1827488","Luke Cage","https://www.imdb.com/title/tt3322314"
"Sheldon Shaw 9 episodes, 2018","Kevin Mambo","https://www.imdb.com/name/nm0541039","Luke Cage","https://www.imdb.com/title/tt3322314"
"Zip 9 episodes, 2016","Jaiden Kaine","https://www.imdb.com/name/nm4005031","Luke Cage","https://www.imdb.com/title/tt3322314"
"Captain Tom Ridenhour 8 episodes, 2018","Peter Jay Fernandez","https://www.imdb.com/name/nm0273034","Luke Cage","https://www.imdb.com/title/tt3322314"
"Comanche 8 episodes, 2016-2018","Thomas Q. Jones","https://www.imdb.com/name/nm2472521","Luke Cage","https://www.imdb.com/title/tt3322314"
"Anansi 8 episodes, 2018","Sahr Ngaujah","https://www.imdb.com/name/nm0628897","Luke Cage","https://www.imdb.com/title/tt3322314"
"Detective Nandi Tyler 8 episodes, 2018","Antonique Smith","https://www.imdb.com/name/nm1478954","Luke Cage","https://www.imdb.com/title/tt3322314"
"Willis 'Diamondback' Stryker 7 episodes, 2016","Erik LaRay Harvey","https://www.imdb.com/name/nm0367510","Luke Cage","https://www.imdb.com/title/tt3322314"
"Detective Rafael Scarfe 7 episodes, 2016-2018","Frank Whaley","https://www.imdb.com/name/nm0001844","Luke Cage","https://www.imdb.com/title/tt3322314"
"James Lucas 7 episodes, 2018","Reg E. Cathey","https://www.imdb.com/name/nm0146146","Luke Cage","https://www.imdb.com/title/tt3322314"
"Ben Donovan 7 episodes, 2016-2018","Danny Johnson","https://www.imdb.com/name/nm0424874","Luke Cage","https://www.imdb.com/title/tt3322314"
"Thembi Wallace 7 episodes, 2016-2018","Tijuana Ricks","https://www.imdb.com/name/nm1787532","Luke Cage","https://www.imdb.com/title/tt3322314"
"Auntie Ingrid 7 episodes, 2018","Heather Simms","https://www.imdb.com/name/nm0799967","Luke Cage","https://www.imdb.com/title/tt3322314"
"Cornell 'Cottonmouth' Stokes 7 episodes, 2016","Mahershala Ali","https://www.imdb.com/name/nm0991810","Luke Cage","https://www.imdb.com/title/tt3322314"
"Domingo Colon 6 episodes, 2016","Jacob Vargas","https://www.imdb.com/name/nm0889846","Luke Cage","https://www.imdb.com/title/tt3322314"
"Raymond 'Piranha' Jones 6 episodes, 2018","Chaz Lamar Shepherd","https://www.imdb.com/name/nm0791755","Luke Cage","https://www.imdb.com/title/tt3322314"
"Candace 6 episodes, 2016","Deborah Ayorinde","https://www.imdb.com/name/nm3831822","Luke Cage","https://www.imdb.com/title/tt3322314"
"Connie Lin 6 episodes, 2016-2018","Jade Wu","https://www.imdb.com/name/nm0943105","Luke Cage","https://www.imdb.com/title/tt3322314"
"Lonnie Wilson 6 episodes, 2016-2018","Darius Kaleb","https://www.imdb.com/name/nm7043215","Luke Cage","https://www.imdb.com/title/tt3322314"
"Stephanie aka Billie 5 episodes, 2018","Tarah Rodgers","https://www.imdb.com/name/nm2445037","Luke Cage","https://www.imdb.com/title/tt3322314"
