"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Peter Parker / Spider-Man";"Tom Holland";"https://www.imdb.com/name/nm4043618";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Adrian Toomes / Vulture";"Michael Keaton";"https://www.imdb.com/name/nm0000474";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Tony Stark / Iron Man";"Robert Downey Jr.";"https://www.imdb.com/name/nm0000375";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"May Parker";"Marisa Tomei";"https://www.imdb.com/name/nm0000673";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Happy Hogan";"Jon Favreau";"https://www.imdb.com/name/nm0269463";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Pepper Potts";"Gwyneth Paltrow";"https://www.imdb.com/name/nm0000569";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Michelle";"Zendaya";"https://www.imdb.com/name/nm3918035";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Aaron Davis";"Donald Glover";"https://www.imdb.com/name/nm2255973";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Ned";"Jacob Batalon";"https://www.imdb.com/name/nm8188622";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Liz";"Laura Harrier";"https://www.imdb.com/name/nm5637553";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Flash";"Tony Revolori";"https://www.imdb.com/name/nm1727825";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Herman Schultz / Shocker #2";"Bokeem Woodbine";"https://www.imdb.com/name/nm0940158";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Anne Marie Hoag";"Tyne Daly";"https://www.imdb.com/name/nm0002033";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Abe";"Abraham Attah";"https://www.imdb.com/name/nm6781688";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Coach Wilson";"Hannibal Buress";"https://www.imdb.com/name/nm2868110";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Principal Morita";"Kenneth Choi";"https://www.imdb.com/name/nm0158846";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Ms. Warren";"Selenis Leyva";"https://www.imdb.com/name/nm0508139";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Betty";"Angourie Rice";"https://www.imdb.com/name/nm3886028";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Mr. Harrington";"Martin Starr";"https://www.imdb.com/name/nm0771414";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Doris Toomes";"Garcelle Beauvais";"https://www.imdb.com/name/nm0004731";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Phineas Mason / The Tinkerer";"Michael Chernus";"https://www.imdb.com/name/nm1985974";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Mac Gargan";"Michael Mando";"https://www.imdb.com/name/nm3103126";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Jackson Brice / Shocker #1";"Logan Marshall-Green";"https://www.imdb.com/name/nm1334869";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Karen / Suit Lady (voice)";"Jennifer Connelly";"https://www.imdb.com/name/nm0000124";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Agent Foster";"Gary Weeks";"https://www.imdb.com/name/nm0917314";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Randy";"Christopher Berry";"https://www.imdb.com/name/nm0077512";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Jason";"Jorge Lendeborg Jr.";"https://www.imdb.com/name/nm7449863";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Mr. Cobbwell";"Tunde Adebimpe";"https://www.imdb.com/name/nm0011758";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Cindy";"Tiffany Espensen";"https://www.imdb.com/name/nm2556904";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Sally";"Isabella Amara";"https://www.imdb.com/name/nm4194645";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Charles";"Michael Barbieri";"https://www.imdb.com/name/nm7503336";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Seymour";"J.J. Totah";"https://www.imdb.com/name/nm4796309";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Mr. Delmar";"Hemky Madera";"https://www.imdb.com/name/nm0534822";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Street Vendor";"Zach Cherry";"https://www.imdb.com/name/nm7100086";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Punk on Street (as Kirk Thatcher)";"Kirk R. Thatcher";"https://www.imdb.com/name/nm0857130";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Car Jacker";"Yu Lew";"https://www.imdb.com/name/nm1360113";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Yelling Woman";"Sondra James";"https://www.imdb.com/name/nm0416932";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Yelling Man";"Bob Adrian";"https://www.imdb.com/name/nm0012432";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Day Sleeper";"Gary Richardson";"https://www.imdb.com/name/nm6324751";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Gary";"Stan Lee";"https://www.imdb.com/name/nm0498278";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Thai Waiter";"Joe Hang";"https://www.imdb.com/name/nm3357671";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"History Teacher";"Wayne Pére";"https://www.imdb.com/name/nm0701818";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Steve Rogers / Captain America";"Chris Evans";"https://www.imdb.com/name/nm0262635";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Tent Kid";"Alexa Laraki";"https://www.imdb.com/name/nm9083460";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Tent Kid";"Liza Fagin";"https://www.imdb.com/name/nm8516240";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Friday (voice)";"Kerry Condon";"https://www.imdb.com/name/nm0174403";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
"Mr. Hapgood";"John Penick";"https://www.imdb.com/name/nm7464313";"Spider-Man: Homecoming";"https://www.imdb.com/title/tt2250912"
