"role","actorname","actorimdb","titlename","titleimdb"
"Tony Stark / Iron Man","Robert Downey Jr.","https://www.imdb.com/name/nm0000375","The Avengers","https://www.imdb.com/title/tt0848228"
"Steve Rogers / Captain America","Chris Evans","https://www.imdb.com/name/nm0262635","The Avengers","https://www.imdb.com/title/tt0848228"
"Natasha Romanoff / Black Widow","Scarlett Johansson","https://www.imdb.com/name/nm0424060","The Avengers","https://www.imdb.com/title/tt0848228"
"Thor","Chris Hemsworth","https://www.imdb.com/name/nm1165110","The Avengers","https://www.imdb.com/title/tt0848228"
"Bruce Banner / The Hulk","Mark Ruffalo","https://www.imdb.com/name/nm0749263","The Avengers","https://www.imdb.com/title/tt0848228"
"Clint Barton / Hawkeye","Jeremy Renner","https://www.imdb.com/name/nm0719637","The Avengers","https://www.imdb.com/title/tt0848228"
"Loki","Tom Hiddleston","https://www.imdb.com/name/nm1089991","The Avengers","https://www.imdb.com/title/tt0848228"
"Agent Phil Coulson","Clark Gregg","https://www.imdb.com/name/nm0163988","The Avengers","https://www.imdb.com/title/tt0848228"
"Agent Maria Hill","Cobie Smulders","https://www.imdb.com/name/nm1130627","The Avengers","https://www.imdb.com/title/tt0848228"
"Selvig","Stellan Skarsgård","https://www.imdb.com/name/nm0001745","The Avengers","https://www.imdb.com/title/tt0848228"
"Nick Fury","Samuel L. Jackson","https://www.imdb.com/name/nm0000168","The Avengers","https://www.imdb.com/title/tt0848228"
"Pepper Potts","Gwyneth Paltrow","https://www.imdb.com/name/nm0000569","The Avengers","https://www.imdb.com/title/tt0848228"
"Jarvis (voice)","Paul Bettany","https://www.imdb.com/name/nm0079273","The Avengers","https://www.imdb.com/title/tt0848228"
"The Other","Alexis Denisof","https://www.imdb.com/name/nm0219206","The Avengers","https://www.imdb.com/title/tt0848228"
"NASA Scientist","Tina Benko","https://www.imdb.com/name/nm0071416","The Avengers","https://www.imdb.com/title/tt0848228"
"Georgi Luchkov","Jerzy Skolimowski","https://www.imdb.com/name/nm0804592","The Avengers","https://www.imdb.com/title/tt0848228"
"Weaselly Thug","Kirill Nikiforov","https://www.imdb.com/name/nm5011531","The Avengers","https://www.imdb.com/title/tt0848228"
"Tall Thug","Jeff Wolfe","https://www.imdb.com/name/nm0004178","The Avengers","https://www.imdb.com/title/tt0848228"
