"role","actorname","actorimdb","titlename","titleimdb"
"Scott Lang / Ant-Man","Paul Rudd","https://www.imdb.com/name/nm0748620","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Hope Van Dyne / Wasp","Evangeline Lilly","https://www.imdb.com/name/nm1431940","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Luis","Michael Peña","https://www.imdb.com/name/nm0671567","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Sonny Burch","Walton Goggins","https://www.imdb.com/name/nm0324658","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Paxton","Bobby Cannavale","https://www.imdb.com/name/nm0134072","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Maggie","Judy Greer","https://www.imdb.com/name/nm0339460","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Dave (as Tip 'T.I.' Harris)","T.I.","https://www.imdb.com/name/nm1939267","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Kurt","David Dastmalchian","https://www.imdb.com/name/nm2810287","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Ava / Ghost","Hannah John-Kamen","https://www.imdb.com/name/nm4789912","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Cassie","Abby Ryder Fortson","https://www.imdb.com/name/nm5338858","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Jimmy Woo","Randall Park","https://www.imdb.com/name/nm1320827","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Janet Van Dyne / Wasp","Michelle Pfeiffer","https://www.imdb.com/name/nm0000201","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Dr. Bill Foster","Laurence Fishburne","https://www.imdb.com/name/nm0000401","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Dr. Hank Pym","Michael Douglas","https://www.imdb.com/name/nm0000140","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Uzman","Divian Ladwa","https://www.imdb.com/name/nm2591562","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Anitolov","Goran Kostic","https://www.imdb.com/name/nm1336552","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Knox","Rob Archer","https://www.imdb.com/name/nm1353738","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Agent Stoltz (as Sean Thompson Kleier)","Sean Kleier","https://www.imdb.com/name/nm5604130","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Agent Burleigh","Benjamin Byron Davis","https://www.imdb.com/name/nm1177880","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Elihas Starr","Michael Cerveris","https://www.imdb.com/name/nm0148964","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
"Catherine Starr","Riann Steele","https://www.imdb.com/name/nm3474956","Ant-Man and the Wasp","https://www.imdb.com/title/tt5095030"
