"role","actorname","actorimdb","titlename","titleimdb"
"Michelle Jones","Zendaya","https://www.imdb.com/name/nm3918035","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Peter Parker / Spider-Man","Tom Holland","https://www.imdb.com/name/nm4043618","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Quentin Beck / Mysterio (rumored)","Jake Gyllenhaal","https://www.imdb.com/name/nm0350453","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"May Parker","Marisa Tomei","https://www.imdb.com/name/nm0000673","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Maria Hill (rumored)","Cobie Smulders","https://www.imdb.com/name/nm1130627","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Adrian Toomes / Vulture","Michael Keaton","https://www.imdb.com/name/nm0000474","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Flash Thompson","Tony Revolori","https://www.imdb.com/name/nm1727825","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Mr. Delmar","Hemky Madera","https://www.imdb.com/name/nm0534822","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Dimitri","Numan Acar","https://www.imdb.com/name/nm1485637","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
"Ned","Jacob Batalon","https://www.imdb.com/name/nm8188622","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
,"J.B. Smoove","https://www.imdb.com/name/nm1356578","Spider-Man: Far From Home","https://www.imdb.com/title/tt6320628"
