"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Matt Murdock / ... 38 episodes, 2015-2018";"Charlie Cox";"https://www.imdb.com/name/nm1214435";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Karen Page 33 episodes, 2015-2017";"Deborah Ann Woll";"https://www.imdb.com/name/nm2832695";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Foggy Nelson 30 episodes, 2015-2017";"Elden Henson";"https://www.imdb.com/name/nm0711805";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Wilson Fisk 21 episodes, 2015-2017";"Vincent D'Onofrio";"https://www.imdb.com/name/nm0000352";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Sgt. Brett Mahoney 14 episodes, 2015-2016";"Royce Johnson";"https://www.imdb.com/name/nm1912642";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Mitchell Ellison 13 episodes, 2015-2018";"Geoffrey Cantor";"https://www.imdb.com/name/nm0134666";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Frank Castle / ... 12 episodes, 2016";"Jon Bernthal";"https://www.imdb.com/name/nm1256532";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Marci Stahl 11 episodes, 2015-2018";"Amy Rutberg";"https://www.imdb.com/name/nm0751880";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Elektra Natchios 10 episodes, 2016";"Elodie Yung";"https://www.imdb.com/name/nm1392388";"Daredevil";"https://www.imdb.com/title/tt3322312"
"James Wesley 10 episodes, 2015";"Toby Leonard Moore";"https://www.imdb.com/name/nm2584861";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Agent Johnson / ... 10 episodes, 2015-2018";"David Anthony Buglione";"https://www.imdb.com/name/nm2013981";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Ben Urich 9 episodes, 2015";"Vondie Curtis-Hall";"https://www.imdb.com/name/nm0193554";"Daredevil";"https://www.imdb.com/title/tt3322312"
"Leland Owlsley 9 episodes, 2015";"Bob Gunton";"https://www.imdb.com/name/nm0348409";"Daredevil";"https://www.imdb.com/title/tt3322312"
