"role";"actorname";"actorimdb";"titlename";"titleimdb"
"T'Challa / Black Panther";"Chadwick Boseman";"https://www.imdb.com/name/nm1569276";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Erik Killmonger";"Michael B. Jordan";"https://www.imdb.com/name/nm0430107";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Nakia";"Lupita Nyong'o";"https://www.imdb.com/name/nm2143282";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Okoye";"Danai Gurira";"https://www.imdb.com/name/nm1775091";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Everett K. Ross";"Martin Freeman";"https://www.imdb.com/name/nm0293509";"Black Panther";"https://www.imdb.com/title/tt1825683"
"W'Kabi";"Daniel Kaluuya";"https://www.imdb.com/name/nm2257207";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Shuri";"Letitia Wright";"https://www.imdb.com/name/nm4004793";"Black Panther";"https://www.imdb.com/title/tt1825683"
"M'Baku";"Winston Duke";"https://www.imdb.com/name/nm6328300";"Black Panther";"https://www.imdb.com/title/tt1825683"
"N'Jobu";"Sterling K. Brown";"https://www.imdb.com/name/nm1250791";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Ramonda";"Angela Bassett";"https://www.imdb.com/name/nm0000291";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Zuri";"Forest Whitaker";"https://www.imdb.com/name/nm0001845";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Ulysses Klaue";"Andy Serkis";"https://www.imdb.com/name/nm0785227";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Ayo";"Florence Kasumba";"https://www.imdb.com/name/nm0441042";"Black Panther";"https://www.imdb.com/title/tt1825683"
"T'Chaka";"John Kani";"https://www.imdb.com/name/nm0434712";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Limbani";"David S. Lee";"https://www.imdb.com/name/nm1605085";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Linda";"Nabiyah Be";"https://www.imdb.com/name/nm8852246";"Black Panther";"https://www.imdb.com/title/tt1825683"
"River Tribe Elder";"Isaach De Bankolé";"https://www.imdb.com/name/nm0207218";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Mining Tribe Elder";"Connie Chiume";"https://www.imdb.com/name/nm0158448";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Merchant Tribe Elder";"Dorothy Steel";"https://www.imdb.com/name/nm7262074";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Border Tribe Elder";"Danny Sapani";"https://www.imdb.com/name/nm0764527";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje";"Sydelle Noel";"https://www.imdb.com/name/nm1999504";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje (as Marija Abney)";"Marija Juliette Abney";"https://www.imdb.com/name/nm6112965";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje";"Zola Williams";"https://www.imdb.com/name/nm6880265";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje";"Janeshia Adams-Ginyard";"https://www.imdb.com/name/nm3821861";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje";"Maria Hippolyte";"https://www.imdb.com/name/nm6672490";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje";"Marie Mouroum";"https://www.imdb.com/name/nm5719611";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje";"Jénel Stevens";"https://www.imdb.com/name/nm3565493";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Shaman";"Sope Aluko";"https://www.imdb.com/name/nm3571491";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Thirsty Gambler";"Stan Lee";"https://www.imdb.com/name/nm0498278";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Young T'Chaka";"Atandwa Kani";"https://www.imdb.com/name/nm2818492";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Young T'Challa";"Ashton Tyler";"https://www.imdb.com/name/nm8037970";"Black Panther";"https://www.imdb.com/title/tt1825683"
"James / Young Zuri";"Denzel Whitaker";"https://www.imdb.com/name/nm1091701";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje (1992)";"Shaunette Renée Wilson";"https://www.imdb.com/name/nm8189246";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dora Milaje (1992)";"Christine Hollingsworth";"https://www.imdb.com/name/nm3900049";"Black Panther";"https://www.imdb.com/title/tt1825683"
"BBC Reporter";"Lucy Hockings";"https://www.imdb.com/name/nm1632641";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Militant Leader";"Bambadjan Bamba";"https://www.imdb.com/name/nm2262926";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Young Militant";"Roland Kilumbu";"https://www.imdb.com/name/nm7407625";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Driver (as Jermain 'JT' Holt)";"Jermaine Holt";"https://www.imdb.com/name/nm1627137";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Cargo Truck Militant (as Dominique Smith)";"Dominique Elijah Smith";"https://www.imdb.com/name/nm2410508";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Nigerian Militant #1 (as Jay Lynch)";"Jalil Jay Lynch";"https://www.imdb.com/name/nm0528324";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Nigerian Militant #2";"Vaughndio Forbes";"https://www.imdb.com/name/nm5515089";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Nigerian Woman #1";"Sasha Morfaw";"https://www.imdb.com/name/nm3636697";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Nigerian Woman #2";"Alexis Louder";"https://www.imdb.com/name/nm6951875";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Museum Director";"Francesca Faridany";"https://www.imdb.com/name/nm0267432";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Security Guard";"Mark Ashworth";"https://www.imdb.com/name/nm0039327";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Young Killmonger";"Seth Carr";"https://www.imdb.com/name/nm3695624";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Jabari Fisherman";"Jeremy Sample";"https://www.imdb.com/name/nm2078999";"Black Panther";"https://www.imdb.com/title/tt1825683"
"South African Tough";"Chad Crumley";"https://www.imdb.com/name/nm8691833";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Elderly Woman";"Alexis Rhee";"https://www.imdb.com/name/nm0722224";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Dealer";"Danny Chung";"https://www.imdb.com/name/nm7162668";"Black Panther";"https://www.imdb.com/title/tt1825683"
"CIA Agent";"Elizabeth Elkins";"https://www.imdb.com/name/nm2051427";"Black Panther";"https://www.imdb.com/title/tt1825683"
"French Ambassador";"Tony Sears";"https://www.imdb.com/name/nm0780742";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Basketball Kid (1992) (as Alex C. Riley Hughes)";"Alex Riley Hughes";"https://www.imdb.com/name/nm9327165";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Basketball Kid (1992)";"Clifford Gay";"https://www.imdb.com/name/nm9607807";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Basketball Kid (1992)";"Shamel Heath";"https://www.imdb.com/name/nm9607808";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Hot Dog Kid";"De'Jon Watts";"https://www.imdb.com/name/nm9045333";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Young Oakland Kid (as Alex Hibbert)";"Alex R. Hibbert";"https://www.imdb.com/name/nm7683379";"Black Panther";"https://www.imdb.com/title/tt1825683"
"Oakland Kid";"Tristan Timmons";"https://www.imdb.com/name/nm9607809";"Black Panther";"https://www.imdb.com/title/tt1825683"
