"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Tony Stark";"Robert Downey Jr.";"https://www.imdb.com/name/nm0000375";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Pepper Potts";"Gwyneth Paltrow";"https://www.imdb.com/name/nm0000569";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Colonel James Rhodes";"Don Cheadle";"https://www.imdb.com/name/nm0000332";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Aldrich Killian";"Guy Pearce";"https://www.imdb.com/name/nm0001602";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Maya Hansen";"Rebecca Hall";"https://www.imdb.com/name/nm0356017";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Happy Hogan";"Jon Favreau";"https://www.imdb.com/name/nm0269463";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Trevor Slattery";"Ben Kingsley";"https://www.imdb.com/name/nm0001426";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Savin";"James Badge Dale";"https://www.imdb.com/name/nm0197647";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Brandt";"Stephanie Szostak";"https://www.imdb.com/name/nm1210895";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"JARVIS (voice)";"Paul Bettany";"https://www.imdb.com/name/nm0079273";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"President Ellis";"William Sadler";"https://www.imdb.com/name/nm0006669";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Mrs. Davis";"Dale Dickey";"https://www.imdb.com/name/nm0225460";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Harley Keener";"Ty Simpkins";"https://www.imdb.com/name/nm1339223";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Vice President Rodriguez";"Miguel Ferrer";"https://www.imdb.com/name/nm0001208";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Doctor Wu (as Wang Xueqi)";"Xueqi Wang";"https://www.imdb.com/name/nm1281653";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Wu Jiaqi (Chinese version)";"Bingbing Fan";"https://www.imdb.com/name/nm1549063";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Chinese News Reporter (Chinese version)";"Si Yu Li";"https://www.imdb.com/name/nm2775067";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Ho Yinsen";"Shaun Toub";"https://www.imdb.com/name/nm0869467";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Annoying Conference Guy";"Matthew Sterling Nye";"https://www.imdb.com/name/nm1955003";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Pat Kiernan";"Pat Kiernan";"https://www.imdb.com/name/nm0452592";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Josh Elliott";"Josh Elliott";"https://www.imdb.com/name/nm2540733";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Megan Henderson (as Megan Henderson)";"Megan Henderson";"https://www.imdb.com/name/nm1285405";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Thomas Roberts";"Thomas Roberts";"https://www.imdb.com/name/nm1942245";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Bill Maher";"Bill Maher";"https://www.imdb.com/name/nm0005175";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Joan Rivers";"Joan Rivers";"https://www.imdb.com/name/nm0001672";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"George Kotsiopoulos";"George Kotsiopoulos";"https://www.imdb.com/name/nm3227451";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Neptune's Net Girl";"Bronte D'Esposito";"https://www.imdb.com/name/nm5650974";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Neptune's Net Boy";"Noah Visconti";"https://www.imdb.com/name/nm5612123";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Taggart";"Ashley Hamilton";"https://www.imdb.com/name/nm0357742";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Happy's Nurse";"Brooke Jaye Taylor";"https://www.imdb.com/name/nm2349949";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Hospital News Reporter";"Kim Dean";"https://www.imdb.com/name/nm2532096";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Pushy Tabloid Reporter";"Glenn Foster";"https://www.imdb.com/name/nm0287824";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Helicopter Pilot #1";"Anthony Reynolds";"https://www.imdb.com/name/nm0721593";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Helicopter Pilot #2";"Kendrick Cross";"https://www.imdb.com/name/nm1366703";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Reporter at House Wreckage";"Tom Clark";"https://www.imdb.com/name/nm2824594";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Mandarin Studio Technician";"Brian Schaeffer";"https://www.imdb.com/name/nm3169259";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Mandarin Look-Out";"John Eddins";"https://www.imdb.com/name/nm0248847";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Rose Hill Deputy / Extremis Soldier";"Rockey Dickey Jr.";"https://www.imdb.com/name/nm1985383";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Rose Hill Christmas Tree Shopper";"Drew Michael Hershner";"https://www.imdb.com/name/nm4173197";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Junior Technician (as Sarah Burkharat)";"Sarah Burkhardt";"https://www.imdb.com/name/nm1538461";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Senior Technician";"Jan Broberg";"https://www.imdb.com/name/nm0306967";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Satellite Technician (as Andy Lauer)";"Andrew Lauer";"https://www.imdb.com/name/nm0490774";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Technical Director";"Nate Bynum";"https://www.imdb.com/name/nm0125967";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Vice President's Analyst";"Andrew Lander";"https://www.imdb.com/name/nm2741142";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Thomas Richards";"Tom Virtue";"https://www.imdb.com/name/nm0899487";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Scared Insurgent";"Serdar Kalsin";"https://www.imdb.com/name/nm1224135";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"President's Aide";"Roy McCrerey";"https://www.imdb.com/name/nm0567009";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Laughing Insurgent";"Demetrios Hodges";"https://www.imdb.com/name/nm5650596";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Pageant Emcee";"Bobby Tisdale";"https://www.imdb.com/name/nm1092425";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Miss Elk Ridge";"Yvonne Zima";"https://www.imdb.com/name/nm0956531";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
"Pageant Judge";"Stan Lee";"https://www.imdb.com/name/nm0498278";"Iron Man 3";"https://www.imdb.com/title/tt1300854"
