"role","actorname","actorimdb","titlename","titleimdb"
"Phil Coulson 110 episodes, 2013-2018","Clark Gregg","https://www.imdb.com/name/nm0163988","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Melinda May 110 episodes, 2013-2018","Ming-Na Wen","https://www.imdb.com/name/nm0001840","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Daisy 'Skye' Johnson / ... 110 episodes, 2013-2018","Chloe Bennet","https://www.imdb.com/name/nm4032297","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Leo Fitz / ... 110 episodes, 2013-2018","Iain De Caestecker","https://www.imdb.com/name/nm0207691","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Jemma Simmons 110 episodes, 2013-2018","Elizabeth Henstridge","https://www.imdb.com/name/nm4464857","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Alphonso 'Mack' Mackenzie / ... 88 episodes, 2014-2018","Henry Simmons","https://www.imdb.com/name/nm0005431","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Grant Ward / ... 62 episodes, 2013-2017","Brett Dalton","https://www.imdb.com/name/nm3474430","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Lance Hunter 36 episodes, 2014-2017","Nick Blood","https://www.imdb.com/name/nm3435454","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Elena 'Yo-Yo' Rodriguez 36 episodes, 2016-2018","Natalia Cordova-Buckley","https://www.imdb.com/name/nm3086285","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Bobbi Morse 31 episodes, 2014-2016","Adrianne Palicki","https://www.imdb.com/name/nm1597316","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Lincoln Campbell 29 episodes, 2015-2016","Luke Mitchell","https://www.imdb.com/name/nm1446779","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Holden Radcliffe 27 episodes, 2016-2017","John Hannah","https://www.imdb.com/name/nm0001314","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Glenn Talbot 24 episodes, 2014-2018","Adrian Pasdar","https://www.imdb.com/name/nm0664499","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Antoine Triplett 21 episodes, 2014-2017","B.J. Britt","https://www.imdb.com/name/nm1580957","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Agent Davis 21 episodes, 2013-2019","Maximilian Osinski","https://www.imdb.com/name/nm2471273","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Deke Shaw 19 episodes, 2017-2018","Jeff Ward","https://www.imdb.com/name/nm1831496","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
"Aida / ... 19 episodes, 2016-2017","Mallory Jansen","https://www.imdb.com/name/nm5220517","Agents of S.H.I.E.L.D.","https://www.imdb.com/title/tt2364582"
