"role","actorname","actorimdb","titlename","titleimdb"
"Peter Quill / Star-Lord","Chris Pratt","https://www.imdb.com/name/nm0695435","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Gamora","Zoe Saldana","https://www.imdb.com/name/nm0757855","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Drax","Dave Bautista","https://www.imdb.com/name/nm1176985","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Baby Groot (voice)","Vin Diesel","https://www.imdb.com/name/nm0004874","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Rocket (voice)","Bradley Cooper","https://www.imdb.com/name/nm0177896","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Yondu","Michael Rooker","https://www.imdb.com/name/nm0740264","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Nebula","Karen Gillan","https://www.imdb.com/name/nm2394794","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Mantis","Pom Klementieff","https://www.imdb.com/name/nm2962353","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Stakar Ogord","Sylvester Stallone","https://www.imdb.com/name/nm0000230","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Ego","Kurt Russell","https://www.imdb.com/name/nm0000621","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Ayesha","Elizabeth Debicki","https://www.imdb.com/name/nm4456120","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Taserface","Chris Sullivan","https://www.imdb.com/name/nm2884388","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Kraglin / On-Set Rocket","Sean Gunn","https://www.imdb.com/name/nm0348231","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Tullk","Tommy Flanagan","https://www.imdb.com/name/nm0281107","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Meredith Quill","Laura Haddock","https://www.imdb.com/name/nm2652095","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Young Ego Facial Reference","Aaron Schwartz","https://www.imdb.com/name/nm0777125","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Sovereign Chambermaid","Hannah Gottesman","https://www.imdb.com/name/nm6282315","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Sovereign Pilot","Hilty Bowen","https://www.imdb.com/name/nm5167893","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Sovereign Admiral","Ben Browder","https://www.imdb.com/name/nm0112871","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Zylak","Alex Klein","https://www.imdb.com/name/nm2309875","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Zylak's Frenemy","Luke Cook","https://www.imdb.com/name/nm1981177","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Retch","Evan Jones","https://www.imdb.com/name/nm0428055","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Oblo","Joe Fria","https://www.imdb.com/name/nm1002694","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Narblik","Terence Rosemore","https://www.imdb.com/name/nm0741893","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Halfnut","Jimmy Urine","https://www.imdb.com/name/nm1449794","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Brahl","Stephen Blackehart","https://www.imdb.com/name/nm0002888","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Gef","Steve Agee","https://www.imdb.com/name/nm0012948","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Huhtar","Blondy Baruti","https://www.imdb.com/name/nm7174567","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"'Down There!'","Richard Christy","https://www.imdb.com/name/nm1832674","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Unseen Ravager","Rob Zombie","https://www.imdb.com/name/nm0957772","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Robot Courtesan","Sierra Love","https://www.imdb.com/name/nm5060404","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Robot Courtesan (as Kendra Staub)","Kendra Carelli","https://www.imdb.com/name/nm5451533","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Robot Courtesan","Milynn Sarley","https://www.imdb.com/name/nm3791575","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Howard the Duck (voice)","Seth Green","https://www.imdb.com/name/nm0001293","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Howard's Date (as Molly Quinn)","Molly C. Quinn","https://www.imdb.com/name/nm0703939","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Martinex","Michael Rosenbaum","https://www.imdb.com/name/nm0742146","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Sneeper Madame","Rhoda Griffis","https://www.imdb.com/name/nm0341421","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Watcher Informant","Stan Lee","https://www.imdb.com/name/nm0498278","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"The Form of David Hasselhoff","David Hasselhoff","https://www.imdb.com/name/nm0001327","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Officer Fitzgibbon","Mac Wells","https://www.imdb.com/name/nm5997474","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Weird Old Man","James Gunn Sr.","https://www.imdb.com/name/nm8932754","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Weird Old Man's Mistress","Leota Gunn","https://www.imdb.com/name/nm8932755","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Easik Mother","Elizabeth Ludlow","https://www.imdb.com/name/nm6018082","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Young Peter Quill","Wyatt Oleff","https://www.imdb.com/name/nm5200476","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Grandpa Quill","Gregg Henry","https://www.imdb.com/name/nm0001344","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Grandpa Quill's Friend","Damita Jane Howard","https://www.imdb.com/name/nm3180152","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Charlie-27","Ving Rhames","https://www.imdb.com/name/nm0000609","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Aleta Ogord","Michelle Yeoh","https://www.imdb.com/name/nm0000706","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
"Shran - Ravager (uncredited)","John Jacob Anderson","https://www.imdb.com/name/nm9187687","Guardians of the Galaxy Vol. 2","https://www.imdb.com/title/tt3896198"
