"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Peggy Carter 18 episodes, 2015-2016";"Hayley Atwell";"https://www.imdb.com/name/nm2017943";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Edwin Jarvis 18 episodes, 2015-2016";"James D'Arcy";"https://www.imdb.com/name/nm0195439";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Daniel Sousa 18 episodes, 2015-2016";"Enver Gjokaj";"https://www.imdb.com/name/nm2222175";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Jack Thompson 14 episodes, 2015-2016";"Chad Michael Murray";"https://www.imdb.com/name/nm0614877";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Whitney Frost 10 episodes, 2016";"Wynn Everett";"https://www.imdb.com/name/nm1570774";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Jason Wilkes 10 episodes, 2016";"Reggie Austin";"https://www.imdb.com/name/nm1117385";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Dottie Underwood 10 episodes, 2015-2016";"Bridget Regan";"https://www.imdb.com/name/nm2125623";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Rose / ... 9 episodes, 2015-2016";"Lesley Boone";"https://www.imdb.com/name/nm0095516";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Roger Dooley 7 episodes, 2015";"Shea Whigham";"https://www.imdb.com/name/nm0924154";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Angie Martinelli 7 episodes, 2015-2016";"Lyndsy Fonseca";"https://www.imdb.com/name/nm0960912";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Calvin Chadwick 7 episodes, 2016";"Currie Graham";"https://www.imdb.com/name/nm0333982";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Ana Jarvis 7 episodes, 2016";"Lotte Verbeek";"https://www.imdb.com/name/nm2551311";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Vernon Masters 7 episodes, 2016";"Kurtwood Smith";"https://www.imdb.com/name/nm0001748";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Howard Stark 5 episodes, 2015-2016";"Dominic Cooper";"https://www.imdb.com/name/nm1002641";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Dr. Samberly 5 episodes, 2016";"Matt Braunger";"https://www.imdb.com/name/nm2286712";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Joseph Manfredi 5 episodes, 2016";"Ken Marino";"https://www.imdb.com/name/nm0547800";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Agent Vega 5 episodes, 2016";"Rey Valentin";"https://www.imdb.com/name/nm1732800";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Agent Yauch 5 episodes, 2015";"Alexander Carroll";"https://www.imdb.com/name/nm1289674";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Dr. Ivchenko 4 episodes, 2015";"Ralph Brown";"https://www.imdb.com/name/nm0114460";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Hugh Jones 4 episodes, 2015-2016";"Ray Wise";"https://www.imdb.com/name/nm0936403";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Miriam Fry 4 episodes, 2015";"Meagen Fay";"https://www.imdb.com/name/nm0269599";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Ray Krzeminski 3 episodes, 2015";"Kyle Bornheimer";"https://www.imdb.com/name/nm1531180";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Rufus 3 episodes, 2016";"Chris Browning";"https://www.imdb.com/name/nm0115152";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Violet 3 episodes, 2016";"Sarah Bolger";"https://www.imdb.com/name/nm0092961";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Captain America (Radio Actor) / ... 3 episodes, 2015-2016";"Walker Roach";"https://www.imdb.com/name/nm7016117";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Dr. Chung 2 episodes, 2016";"Tom Choi";"https://www.imdb.com/name/nm1059827";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Leet Brannis 2 episodes, 2015";"James Frain";"https://www.imdb.com/name/nm0289656";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Michael Carter 2 episodes, 2016";"Max Brown";"https://www.imdb.com/name/nm0114238";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Sasha Demidov 2 episodes, 2015";"James Landry Hébert";"https://www.imdb.com/name/nm2566469";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Nonna Manfredi 2 episodes, 2016";"Tina D'Marco";"https://www.imdb.com/name/nm2053805";"Agent Carter";"https://www.imdb.com/title/tt3475734"
"Thomas Gloucester 2 episodes, 2016";"Casey Sander";"https://www.imdb.com/name/nm0761389";"Agent Carter";"https://www.imdb.com/title/tt3475734"
