"role";"actorname";"actorimdb";"titlename";"titleimdb"
"Claire Weiss";"Lizzy Caplan";"https://www.imdb.com/name/nm0135221";"Marvel One-Shot: Item 47";"https://www.imdb.com/title/tt2247732"
"Bennie Pollock";"Jesse Bradford";"https://www.imdb.com/name/nm0103038";"Marvel One-Shot: Item 47";"https://www.imdb.com/title/tt2247732"
"Agent Jasper Sitwell";"Maximiliano Hernández";"https://www.imdb.com/name/nm0380073";"Marvel One-Shot: Item 47";"https://www.imdb.com/title/tt2247732"
"Agent Blake";"Titus Welliver";"https://www.imdb.com/name/nm0920038";"Marvel One-Shot: Item 47";"https://www.imdb.com/title/tt2247732"
"Bank Teller (uncredited)";"Nathan Dean Snyder";"https://www.imdb.com/name/nm3196368";"Marvel One-Shot: Item 47";"https://www.imdb.com/title/tt2247732"
