"role","actorname","actorimdb","titlename","titleimdb"
"Captain America / Steve Rogers","Chris Evans","https://www.imdb.com/name/nm0262635","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Peggy Carter","Hayley Atwell","https://www.imdb.com/name/nm2017943","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"James Buchanan 'Bucky' Barnes","Sebastian Stan","https://www.imdb.com/name/nm1659221","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Colonel Chester Phillips","Tommy Lee Jones","https://www.imdb.com/name/nm0000169","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Johann Schmidt / Red Skull","Hugo Weaving","https://www.imdb.com/name/nm0915989","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Howard Stark","Dominic Cooper","https://www.imdb.com/name/nm1002641","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Heinz Kruger","Richard Armitage","https://www.imdb.com/name/nm0035514","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Dr. Abraham Erskine","Stanley Tucci","https://www.imdb.com/name/nm0001804","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Nick Fury","Samuel L. Jackson","https://www.imdb.com/name/nm0000168","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Dr. Arnim Zola","Toby Jones","https://www.imdb.com/name/nm0429363","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Timothy 'Dum Dum' Dugan","Neal McDonough","https://www.imdb.com/name/nm0568180","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Gabe Jones","Derek Luke","https://www.imdb.com/name/nm1035682","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Jim Morita","Kenneth Choi","https://www.imdb.com/name/nm0158846","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"James Montgomery Falsworth","JJ Feild","https://www.imdb.com/name/nm0270625","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Jacques Dernier","Bruno Ricci","https://www.imdb.com/name/nm0723198","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Gilmore Hodge","Lex Shrapnel","https://www.imdb.com/name/nm0795345","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Senator Brandt","Michael Brandon","https://www.imdb.com/name/nm0104787","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Brandt's Aide (as Martin T. Sherman)","Martin Sherman","https://www.imdb.com/name/nm1453396","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Pvt. Lorraine","Natalie Dormer","https://www.imdb.com/name/nm1754059","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Search Team Leader","Oscar Pearce","https://www.imdb.com/name/nm0668994","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"SHIELD Lieutenant","William Hope","https://www.imdb.com/name/nm0394054","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"SHIELD Tech","Nicholas Pinnock","https://www.imdb.com/name/nm0991979","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Jan","Marek Oravec","https://www.imdb.com/name/nm2283244","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Tower Keeper","David Bradley","https://www.imdb.com/name/nm0103195","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Barman","Leander Deeny","https://www.imdb.com/name/nm2852111","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Nervous Recruit","Sam Hoare","https://www.imdb.com/name/nm2397390","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"4F Doctor","Simon Kunz","https://www.imdb.com/name/nm0475336","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Loud Jerk","Kieran O'Connor","https://www.imdb.com/name/nm3312688","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Connie (as Jenna-Louise Coleman)","Jenna Coleman","https://www.imdb.com/name/nm1982510","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Bonnie","Sophie Colquhoun","https://www.imdb.com/name/nm3948902","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Young Doctor","Doug Cockle","https://www.imdb.com/name/nm0168339","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Enlistment Office MP","Ben Batt","https://www.imdb.com/name/nm2717849","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Stark Girl","Mollie Fitzgerald","https://www.imdb.com/name/nm4386569","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Sergeant Duffy (as Damon J. Driver)","Damon Driver","https://www.imdb.com/name/nm3601619","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Johann Schmidt's Artist","David McKail","https://www.imdb.com/name/nm0004127","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Antique Store Owner","Amanda Walker","https://www.imdb.com/name/nm0907510","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"SSR Doctor","Richard Freeman","https://www.imdb.com/name/nm1757717","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Project Rebirth Nurse","Katherine Press","https://www.imdb.com/name/nm4113365","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Kruger's Aide","Sergio Covino","https://www.imdb.com/name/nm0181630","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Undercover Bum","Marcello Walton","https://www.imdb.com/name/nm0544903","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Undercover Bum","Vincent Montuel","https://www.imdb.com/name/nm4198630","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Kruger's Driver","Fabrizio Santino","https://www.imdb.com/name/nm3038454","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Boy at Dock","Maxwell Newman","https://www.imdb.com/name/nm3365233","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Roeder","Anatole Taubman","https://www.imdb.com/name/nm0851458","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
"Hutter","Jan Pohl","https://www.imdb.com/name/nm2818553","Captain America: The First Avenger","https://www.imdb.com/title/tt0458339"
